Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;15/10/2021;Rendimento;VINO11 - VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;37; R$0,65 ; R$24,05 
Credito;15/10/2021;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;27; R$0,58 ; R$15,66 
Credito;15/10/2021;Rendimento;VISC13 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;3; R$0,40 ; R$1,20 
Credito;15/10/2021;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;NU INVEST CORRETORA DE VALORES S.A.;51; R$0,62 ; R$31,62 
Debito;13/10/2021;Direitos de Subscrição - Não Exercido;RECR12 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;0; - ; - 
Credito;13/10/2021;Recibo de Subscrição;RECR13 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;17; - ; - 
Debito;13/10/2021;Recibo de Subscrição;RECR13 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;17; - ; - 
Debito;11/10/2021;Transferência - Liquidação;ABEV3 - AMBEV S/A;NU INVEST CORRETORA DE VALORES S.A.;100; R$15,14 ; R$1.514,00 
Credito;11/10/2021;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;NU INVEST CORRETORA DE VALORES S.A.;10; R$72,71 ; R$727,10 
Debito;11/10/2021;Transferência - Liquidação;BPAC11 - BANCO BTG PACTUAL S/A;NU INVEST CORRETORA DE VALORES S.A.;45; R$24,35 ; R$1.095,75 
Credito;11/10/2021;Transferência - Liquidação;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;5; R$107,00 ; R$535,00 
Credito;11/10/2021;Transferência - Liquidação;CSAN3 - COSAN S.A.;NU INVEST CORRETORA DE VALORES S.A.;20; R$22,96 ; R$459,28 
Debito;11/10/2021;Transferência - Liquidação;CSMG3 - COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;NU INVEST CORRETORA DE VALORES S.A.;25; R$13,64 ; R$341,00 
Credito;11/10/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;100; R$8,15 ; R$815,00 
Credito;11/10/2021;Transferência - Liquidação;KLBN4 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;100; R$4,23 ; R$423,00 
Debito;11/10/2021;Transferência - Liquidação;LREN3 - LOJAS RENNER S/A;NU INVEST CORRETORA DE VALORES S.A.;36; R$33,77 ; R$1.215,72 
Credito;11/10/2021;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S/A;NU INVEST CORRETORA DE VALORES S.A.;55; R$14,18 ; R$780,00 
Credito;11/10/2021;Transferência - Liquidação;PSSA3 - PORTO SEGURO S/A;NU INVEST CORRETORA DE VALORES S.A.;29; R$46,48 ; R$1.348,12 
Debito;11/10/2021;Solicitação de Subscrição;RECR12 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;17; - ; - 
Debito;11/10/2021;Direitos de Subscrição - Excercído;RECR12 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;17; - ; - 
Credito;11/10/2021;Transferência - Liquidação;SAPR4 - CIA DE SANEAMENTO DO PARANA - SANEPAR;NU INVEST CORRETORA DE VALORES S.A.;237; R$3,82 ; R$905,34 
Credito;11/10/2021;Transferência - Liquidação;TAEE4 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;NU INVEST CORRETORA DE VALORES S.A.;100; R$11,99 ; R$1.199,00 
Debito;11/10/2021;Transferência - Liquidação;TRPL4 - CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;NU INVEST CORRETORA DE VALORES S.A.;80; R$24,16 ; R$1.932,80 
Credito;11/10/2021;Transferência - Liquidação;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;10; R$101,78 ; R$1.017,85 
Credito;08/10/2021;Dividendo;COCA34 - THE COCA-COLA COMPANY;NU INVEST CORRETORA DE VALORES S.A.;10; R$0,25 ; R$2,51 
Credito;08/10/2021;Dividendo;NIKE34 - NIKE INC;NU INVEST CORRETORA DE VALORES S.A.;5; R$0,10 ; R$0,49 
Credito;08/10/2021;Rendimento;TGAR11 - FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL;NU INVEST CORRETORA DE VALORES S.A.;10; R$1,11 ; R$11,10 
Credito;08/10/2021;Atualização;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;3; - ; - 
Credito;06/10/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;150; R$8,27 ; R$1.240,50 
Debito;06/10/2021;Transferência - Liquidação;TGAR11 - FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL;NU INVEST CORRETORA DE VALORES S.A.;10; R$125,99 ; R$1.259,91 
Credito;05/10/2021;Dividendo;VIVT3 - TELEFONICA BRASIL S/A;CLEAR CORRETORA - GRUPO XP;28; R$0,71 ; R$19,90 
Credito;05/10/2021;Dividendo;VIVT3 - TELEFONICA BRASIL S/A;CLEAR CORRETORA - GRUPO XP;28; R$0,94 ; R$26,37 
